No Document,title,Description,Mati,Sakit,Keparahan
79,"Cegah Virus Zika, Bandara Husein Sastranegara Siapkan Pendeteksi Suhu Tubuh","\- Otoritas Bandara Internasional Husein Sastranegara menyiapkan alat
pendeteksi suhu tubuh manusia sebagai upaya pencegahan masuknya virus Zika
yang kini mewabah di beberapa negara ke Jawa Barat via Kota Bandung.  
  
Langkah tersebut sejalan dengan arahan Kemenkes RI yang mengeluarkan travel
advisory (pemberitahuan terkait perjalanan) untuk melindungi masyarakat
berkaitan kemungkinan tertular penyakit bersumber dari virus Zika.  
  
""Memang saat ini belum pemasangan (thermo scanner atau sensor suhu tubuh).
Tapi kami tetap waspada, jadi nanti dipasang,"" kata Manager Teknis Angkasa
Pura II Bandara Husein Sastranegara Sasongko.  
  

Dia menyampaikannya usai menghadiri peresmian pengoperasian tower baru atau
menara kontrol lalu lintas penerbangan di Baandara Husein Sastranegara, Jalan
Pajajaran, Kota Bandung, Rabu (10/2/2016).  
  
Pihak Angkasa Pura II, sambung Sasongko, bekerjasama dengan Kantor Kesehatan
Pelabuhan (KKP) Kelas II Bandung untuk mengaktifkan alat detektor suhu tubuh.
Rencananya pemasangan alat pendeteksi tersebut bertempat di pintu kedatangan
internasional.  
  
Surat edaran Kemenkes tersebut isinya antisipasi bagi warga negara yang baru
kembali dari negara-negara berstatus Kejadian Luar Biasa (KLB) virus Zika.
Sejauh ini Bandara Husein Satranegara melayani penerbangan internasional untuk
keberangkatan dan kedatangan rute Singapura dan Malaysia.  
  
""Singapura dan Kuala Lumpur tidak termasuk endemik (virus Zika). Tetapi tetap,
kami melakukan antisipasi,"" ucap Sasongko.  
  
Alat detektor suhu ini fungsinya sebagai deteksi dini. Pihak bandara dan KPP
Kelas II Bandung akan memeriksa lebih lanjut terhadap warga negara dan
wisatawan bersuhu tubuh 38 celcius yang masuk Bandung via Bandara Husein
Sastranegara.  
  
""Kalau terdeteksi di atas normal, misalnya suhu tubuh ekstrem atau 38 hingga
40 celcius, maka nantinya diisolasi oleh petugas KKP,"" tutur Sasongko.  
  
Namun begitu, Sasongko menegaskan, suhu tubuh bukan indikator seseorang
tertular atau terserang penyakit Zika. ""Jadi (suhu tubuh tinggi) bukan berarti
begitu (kena virus Zika). Perlu cek laboratorium untuk memastikannya,"" ujar
Sasongko.  
  
Negara berstatus KLB virus Zika yaitu Kolombia, Suriname, Brasil, Honduras,
Panama, Cape Verde, Martinique dan El Savador. Untuk negara berstatus
transmisi aktif yaitu Meksiko, Paraguay, Ekuador, Venezuela, Nicaragua, Haiti,
Puerto Rico, Bolivia, Barbados, Republik Dominika, Curacao, Fiji, French
Guiana, Guatemala, Guyana, Guadalope, Saint Martin, New Caledonia, US Virgin
Islands, Tonga, Samoa dan Thailand.

 ",0,1,rendah
80,Kasus COVID-19 di Bandung Barat Nyaris Tembus 2.000 dalam 20 Hari,"\-

Kasus COVID-19 di Kabupaten Bandung Barat (KBB) belum dapat dikendalikan. Saat
ini, angka kasus positif COVID-19 mencapai 1.895 orang.

Juru Bicara Satgas COVID-19 Bandung Barat Agus Ganjar Hidayat mengatakan
lonjakan kasus COVID-19 yang hampir menembus 2 ribu kasus itu terjadi sejak
awal Februari 2022. Padahal, pada awal 2022, Bandung Barat sempat mencatatkan
nol kasus positif.

""Dilihat dari perkembangannya, selama hampir tiga minggu lonjakan kasus yang
ada di KBB ini mencapai 1.794 orang. Karena catatan kami di tanggal 1 Februari
itu hanya ada 101 kasus positif,"" ujar Agus Ganjar kepada wartawan di Kantor
Pemkab Bandung Barat, Senin (21/2/2022).

  

Dari total 1.895 kasus positif itu, Agus menyebut 1.839 orang di antaranya
hanya menjalani isolasi mandiri. Sementara sisanya menjalani perawatan di
rumah sakit rujukan COVID-19.

""Kemudian sebanyak 48 orang dirawat di rumah sakit rujukan COVID-19 di KBB,
dengan sebagiannya itu merupakan warga luar KBB. Lalu, 21 orang yang positif
dirawat di luar KBB,"" tutur Agus.

Agus mengatakan, mayoritas mereka yang terpapar COVID-19 hanya mengalami
gejala ringan. Sehingga, tak banyak yang menjalani perawatan di rumah sakit.

""Dari lonjakan kasus ini juga kami bersyukur kalau kebanyakan gejalanya
ringan. Jadi, cukup isolasi mandiri saja, tapi tetap dipantau oleh petugas
kesehatan setiap hari, termasuk _treatment_ -nya,"" tutur Agus.

Sementara sebagai langkah antisipasi kian meledaknya kasus COVID-19, pihaknya
memberlakukan Work From Home (WFH) di lingkungan perkantoran dan pengetatan
aktivitas masyarakat di pusat keramaian.

""Untuk pencegahannya, kami dari Pemda KBB terus menggenjot vaksinasi COVID-19,
baik dosis I dan II maupun _booster_. Kami juga melakukan pembatasan kegiatan
masyarakat dengan PPKM Level III sejak awal Februari,"" kata Agus.

  
  
  
[Gambas:Video 20detik]  

 ",0,1,rendah
81,Arahan Terkini Jokowi Hadapi Munculnya Varian Baru Corona BA.4 & BA.5,"\-

Presiden Joko Widodo (Jokowi) memberi arahan ke jajarannya agar tetap waspada
di tengah kemunculan kasus Omicron BA.4 dan BA5. Jokowi juga meminta pemberian
vaksin _booster_ ditingkatkan.

Hal itu disampaikan oleh Menkes Budi Gunadi Sadikin usai rapat terbatas
(ratas) dengan Jokowi di Istana, Jakarta, Senin (13/6/2022). Awalnya, Budi
menyampaikan kasus transmisi Indonesia masih terbilang baik.

""Walaupun demikian bapak Presiden juga memberikan arahan ke kami bahwa lebih
baik kita waspada, lebih baik kita berhati-hati karena kewaspadaan kita,
konservatifnya kita, kehati-hatian kita sudah memberikan hasil bahwa kondisi
penanganan pandemi di Indonesia termasuk yang relatif baik dibandingkan dengan
negara-negara lain di dunia,"" ujar Budi saat konpers.

Budi mengatakan Jokowi memintanya meningkatkan vaksinasi _booster_. Sebab,
menurut Budi, jika banyak masyarakat yang melakukan _booster_ , kemungkinan
Indonesia tidak mengalami lagi kenaikan kasus.

""Jadi arahan beliau pertama, vaksinasi _booster_ ditingkatkan terus karena
sekarang kan sudah bulan Juni-Juli semua negara bersiap gelombang berikutnya,""
katanya.

Menurut Budi, gelombang Omicron BA.4 dan BA5 kemungkinan akan tercapai pada
satu bulan setelah ditemukannya kasus pertama. Karena itu, dia menduga puncak
kasus Omicron BA.4 dan BA5 akan terjadi pada minggu kedua atau minggu ketiga
Juli.

""Kalau benar-benar masyarakat siap dan _booster_ -nya yang baik, kemungkinan
besar puncaknya tak akan tinggi, dan ditambah dengan adanya _booster_ daya
tahan imunitas masyarakat akan bertahan 6 bulan lagi, sehingga kalau itu bisa
kita jaga, maka Indonesia mungkin akan jadi satu negara yang pertama-tama
dalam 12 bulan tak alami lonjakan kasus,"" paparnya.

Kemudian, Jokowi juga tetap mengingatkan pemakaian masker di dalam ruangan
tertutup dan di saat kondisi sedang tidak fit. Jokowi juga meminta aturan
wajib _booster_ diterapkan di berbagai acara.

""Bapak Presiden juga berikan arahan agar _booster_ mudah diterima oleh teman-
teman ya setiap acara besar, kalau bisa diwajibkan mewajibkan _booster_
sehingga bisa memastikan teman-teman yang mengikuti acara kerumunan besar
relatif aman,"" kata Budi.

[Gambas:Video 20detik]

  
  

 ",0,1,rendah
82,BKKBN Terima Laporan Ada Siswa SMP di NTB Nikah Berawal dari Sekolah Daring,"\-

BKKBN mendapatkan laporan di NTB ada 6 pelajar SMP melakukan pernikahan dini
berawal dari sekolah daring. Pernikahan dini itu dipicu dari aktivitas
_chatting_ yang dilakukan para pelajar selama sekolah secara daring.

Kepala BKKBN Hasto Wardoyo awalnya menjelaskan salah satu langkah untuk
menekan angka stunting yaitu lewat konseling pranikah. Saat itu lah dia
bercerita tentang pernikahan dini di NTB.

""Kemarin juga ada laporan di NTB yang karena daring _e-learning_ dari sekolah,
banyak _chatting_ , akhirnya banyak nikah usia sekolah SMP. Kami sudah cek
kejadiannya tidak lebih dari 6 anak,"" kata Kepala BKKBN Hasto Wardoyo, dalam
konferensi pers yang disiarkan di YouTube Kemenko PMK, Selasa (25/8/2020).

Ia mengatakan tim BKKBN telah melakukan tindak lanjut ke lapangan. Serta
melakukan lakukan konseling terhadap pasangan yang melakukan pernikahan dini.

Hasto mengatakan pihaknya mengimbau bagi pasangan pernikahan dini itu untuk
menunda kehamilannya hingga berusia 20 tahun. Hasto mengaku siap bekerja keras
menurunkan target stunting hingga 14 persen.

""Kalau sudah terlanjur nikah kita cegah untuk tidak ambil dulu SMP usia 20
tahun. Di masa pandemi kita harus kerja lebih keras seperti anjuran Presiden
Jokowi. Besok pagi saya ke NTT karena banyak masalah-masalah capaian-capaian
target,"" ujarnya.

""Kami siap kerja mulai dari sekarang karena bagi kami ini hanya revitalisasi
jadi bukan hal yang baru. Kami harus kerja lebih keras dan kami tindak lanjuti
perintah menteri tadi harus dibuat skenario-skenario yang jelas, target-target
hitungan ini, kemudian skenario untuk konkretnya seperti apa akan segera kami
susun dan menambahkan pada kegiatan eksisting yang sudah kami kerjakan,""
ungkapnya.

Hasto menjelaskan pihaknya memiliki 2 program unggulannya untuk menekan angka
stunting yaitu pembekalan pranikah dan jarak kelahiran anak pertama lebih dari
3 tahun. Dia mengatakan bonus demografi yang akan dimiliki Indonesia akan
bermanfaat apabila SDM yang dihasilkan berkualitas.

""Ini sangat menentukan kejadian stunting bahkan juga menentukan kejadian
autisme. Antara stunting dan gangguan mental emosional termasuk autisme itu
sangat mempengaruhi kualitas SDM dimana bonus demografi yang diciptakan dengan
perjuangan panjang sejak tahun 70 sampai sekarang mencapai pada proporsi
dependensi rasio yang sangat bagus karena hanya 46 angkanya itu tidak ada
gunanya tanpa disertai dengan kualitas SDM yang baik,"" ujar Hasto.

Jurus menekan angka stunting lainnya dari BKKBN adalah melalui konseling
pranikah. Nantinya calon pengantin yang melakukan pernikahan dini akan diberi
tahu terkait kesehatan reproduksi, psikologi, dan ekonomi keluarga. BKKBN
menghitung target setiap tahunnya tidak boleh ada anak yang stunting lebih
dari 680.000 anak.

""Nah itulah peran kami yang pertama untuk menurunkan stunting melalui pranikah
dan juga menjaga spacing. Ini sangat strategis dan luar biasa. Kami sudah
membuat hitung-hitungan karena supaya di tahun 2024 itu menjadi 14 persen,
maka jika kelahiran itu setahunnya itu 4,8 juta kalau toh naik menjadi 5 juta
itu, maka kelahiran baru ini ini tidak boleh ada yang stunting lebih dari
680.000. Karena setiap tahun itu tidak boleh lebih dari 680.000 Karena tidak
boleh lebih dari 14,27 persen,"" ujar Hasto.

Sebelumnya, Presiden Jokowi ingin angka stunting turun menjadi 14 persen pada
2024. Jokowi memprioritaskan penurunan stunting di 10 provinsi di Indonesia.

""Kita fokus saja untuk menurunkan stunting di 10 provinsi yang prevalensi
stunting yang tertinggi dan provinsi tersebut adalah NTT, Sulbar, NTB,
Gorontalo, Aceh, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Barat,
Sulawesi Tenggara, dan Sulawesi Tengah,"" ujar Jokowi dalam pengantar rapat
terbatas percepatan penurunan stunting yang disiarkan saluran YouTube
Sekretariat Presiden, Rabu (5/8).

[Gambas:Video 20detik]

 ",0,0,rendah
83,"Diminta Anies, Dinas KPKP DKI: Tak Ada Razia Anjing dan Kucing Hari Ini","\- Gubernur DKI Jakarta Anies Baswedan meminta Dinas Ketahanan Pangan,
Kelautan, dan Perikanan (KPKP) menunda razia anjing dan kucing liar terkait
sosialisasi rabies. Dinas KPKP pun memastikan jajarannya meniadakan kegiatan
razia hari ini.  
  
""Kita tetap sosialisasi, yang berubah tidak ada penangkapan,"" kata Kepala
Bidang Peternakan dan Kesehatan Hewan Dinas KPKP DKI Jakarta Sri Hartati, saat
dimintai konfirmasi, Selasa (8/1/2019).  
  
  
Hartati mengatakan kegiatan sosialisasi akan dimulai pada Selasa (8/1) pagi
ini. Sosialisasi dilakukan serentak di lima wilayah kota.  
  

""Iya serentak,"" sebut Hartati.  
  
Anies sebelumnya melalui akun Twitter resminya meminta Dinas KPKP meninda
razia kucing dan anjing liar. Selian itu, Anies meminta Dinas KPKP berdialog
dengan komunitas pecinta binatang terkait sosialisasi tersebut.  
  
""Terkait polemik razia kucing, pagi ini saya instruksikan kepada dinas terkait
agar :  
  
1\. Tunda kegiatan penangkapan;  
2\. Ajak bicara organisasi/komunitas pengelolaan binatang;  
3\. Lakukan kegiatan pengendalian bersama dengan komunitas.  
  
  
Berikut ini lima lokasi sosialisasi yang akan dilaksanakan pagi ini:  
  
1\. Jakarta Pusat: Kelurahan Mangga Dua Selatan  
2\. Jakarta Utara: Kelurahan Sukapura  
3\. Jakarta Selatan: Kelurahan Ragunan  
4\. Jakarta Barat: Kelurahan Jelambar  
5\. Jakarta Timur: Kelapa Dua Wetan

 ",0,0,rendah
84,"Responden Survei Setuju RI Masuk Endemi Corona, Legislator PKB Sependapat","\-

Anggota Komisi IX DPR RI fraksi PKB Luqman Hakim menyebut Indonesia sudah bisa
berubah dari status pandemi COVID-19 menjadi endemi. Luqman meminta agar
pemerintah membuat kajian untuk perubahan status itu.

Menurut Luqman, tingkat keterisian rumah sakit terhadap perawatan pasien
COVID-19 sudah sangat rendah. Hal inilah, kata Luqman, yang membuat RI sudah
berubah status bisa menjadi endemi.

""Tingkat bed occupation rate (BOR) rumah sakit oleh pasien COVID-19 sudah
sangat rendah. Meski setiap hari masih ada angka kasus Covid-19, tetapi tidak
lagi membutuhkan penanganan khusus secara medical. Sesungguhnya, ini pertanda
bahwa COVID-19 telah menjadi endemi; menjadi penyakit yang ada di tengah
masyarakat, sebagai penyakit-penyakit lain seperti demam berdarah, tipes,
hepatitis, dan lain-lain,"" kara Luqman kepada wartawan, Senin (16/5/2022).

Selain itu, Luqman menyebut capaian vaksinasi COVID-19 di RI sudah cukup
tinggi. Dia menambahkan bahwa imunitas warga juga telah terbentuk dengan
sendirinya karena pernah terinfeksi virus Corona.

""Capaian vaksinasi di Indonesia yang sudah cukup tinggi (bahkan untuk vaksin
dosis ke-3 sudah di atas 40 juta penduduk) ditambah imunitas alamiah yang
terbentuk akibat pernah terpapar virus COVID-19, menurut saya telah membentuk
kekebalan komunal (herd immunity) masyarakat Indonesia atas COVID-19 secara
kuat,"" tuturnya.

Oleh karena itu, Luqman berharap pemerintah membuat kajian untuk memastikan
bahwa RI sudah bisa menjadi endemi. Sehingga, kata dia, pemerintah memiliki
dasar yang kuat terhadap perubahan status itu.

""Atas kedua kenyataan di atas, saya berharap pemerintah bersama ahli-ahli
pandemi, dapat membuat kajian ilmiah untuk memastikan COVID-19 telah menjadi
endemi. Dengan demikian, nantinya pemerintah memiliki dasar kuat untuk
memutuskan COVID-19 bukan lagi sebagai bencana nasional non-alam dalam waktu
dekat,"" katanya.

""Dengan keputusan itu, pemerintah dapat mengakhiri semua kebijakan pembatasan
kegiatan masyarakat (PPKM) dan kebijakan-kebijakan lain terkait penanganan
COVID-19 sebagai pandemi dan bencana nasional non-alam,"" imbuhnya.

Luqman berharap pemerintah segera memutuskan soal status endemi ini.
Menurutnya keputusan soal endemi itu lebih cepat lebih baik.

""Menurut saya, semakin cepat pemerintah memutuskan status endemi, semakin baik
untuk kehidupan masyarakat, bangsa dan negara,"" sebutnya.

[Gambas:Video 20detik]

 _Simak hasil survei Indikator pada halaman selanjutnya._

Selanjutnya __

Halaman

1  2

 ",0,1,rendah
85,Rasionalisasi Fenomena Wabah,"\-

Pada awal tahun 1920, ada kejadian aneh yang melanda dunia peternakan di
Amerika Utara dan Kanada. Sejumlah sapi ternak di wilayah tersebut ditemukan
mati dengan kondisi mengenaskan, yang ditandai dengan hidung, mulut, dan mata
yang berdarah. Para petani menganggap wabah ini adalah sebuah kutukan Tuhan,
dan berasumsi roh jahat sebagai biang keladi fenomena ini.

  
Satu tahun kemudian, Frank Schofield, seorang dokter hewan asal Kanada
berhipotesis bahwa hal itu mungkin terjadi karena hewan ternak memakan
semanggi kuning manis ( _Melilotus officinalis_ ), yang memang merupakan
tumbuhan endemis di daerah tersebut. Kandungan sebenarnya pada tanaman ini
tetaplah menjadi misteri hingga 20 tahun kemudian.

  
Adalah Ed Carlson, seorang petani putus asa, yang mengemudikan truknya sejauh
320 kilometer, dengan membawa segenggam semanggi kuning manis dan sapinya yang
telah mati kepada seorang biokemis bernama Karl Link di Universitas Wisconsin.
Pada saat itu, Link juga belum tahu pasti apa yang menyebabkan tanaman
tersebut begitu mematikan.  
  
Setelah penelitian panjang 7 tahun lamanya, bersama tim peneliti yang
tergabung dalam Wisconsin Alumni Research Foundation, Link berhasil menemukan
coumarin, zat yang menghambat penggumpalan darah atau pengencer darah pada
tanaman tersebut. Inilah cikal bakal penemuan antikoagulan, obat yang rutin
digunakan pada pasien dengan penyakit jantung dan gangguan hematologi.

  
Obat tersebut diberi nama Warfarin, yang merupakan singkatan dari Wisconsin
Alumni Research Foundation (WARF) + arin (dari coumarin). Link awalnya
memasarkan obat itu sebagai racun tikus.

  
  
  
Dalam menghadapi sebuah fenomena luar biasa, yang harus kita kedepankan adalah
rasionalitas dan ketenangan. Sehingga kita tidak mudah terjebak dalam
kepanikan yang kemudian membuat kita sulit keluar dari masalah, walaupun sudah
menemukan jalan keluar.  
  
Apa jadinya jika Ed Carlson menelan mentah-mentah mitos yang berkembang di
masyarakat tentang fenomena sapi mati berdarah yang terjadi karena kutukan
Tuhan semata? Carlson sama sekali tidak punya dasar dunia sains apalagi
kedokteran, namun ia sangat tahu apa yang semestinya dilakukan. Siapa sangka,
perbuatan seorang petani kampung ini mengubah sejarah dunia medis untuk
selamanya.

  
Begitu pula jika kita menilik peristiwa pandemi global Covid-19 sekarang ini;
alih-alih mengambil sikap rasional dan tenang, banyak tokoh masyarakat yang
dengan lugunya menghubungkan peristiwa ini dengan entitas supranatural yang
tidak ada sangkut pautnya sama sekali. Dan celakanya lagi, mereka yang memberi
pemaparan adalah orang yang bukan ahli di bidangnya. Sungguh benar pepatah
Arab yang bertutur, ""Kalau kau lihat ada seseorang yang bicara bukan pada
bidangnya, niscaya kau akan melihat berbagai keajaiban keluar dari mulutnya.""

  
Pemerintah, paramedis, dan alim-ulama telah merekomendasikan gerakan untuk
tetap di rumah, _social distancing,_ dan menjaga vitalitas serta higienitas
pribadi. Rekomendasi ini bukanlah hasil obralan-obrolan instan, atau
konspirasi elite global, bahkan strategi politik, namun ini adalah sikap yang
paling rasional yang kita bisa dilakukan untuk mencegah merebaknya wabah
global ini.

  
  
  
Mengapa kita harus rasional dalam segala hal? Begini, apakah Anda pernah
mendengar tentang alkemi? Sebelum abad ketujuh, alkemi atau alkimia dipandang
sebagai suatu cabang ilmu hitam, seorang alkemis dipandang sama derajatnya
dengan shaman atau dukun, dan mempelajarinya merupakan dosa besar bagi
sebagian tradisi agama-agama tertentu pada saat itu.

  
Sampai kemudian Jabir bin Hayyan, seorang alkemis muslim melakukan
demagikalisasi alkimia pada saat itu. Jabirlah yang pertama sekali merumuskan
secara runut senyawa-senyawa kimia dan reaksi di dalamnya. Alkimia yang kala
itu dipandang suatu _black magic_ berubah menjadi cabang ilmu pengetahuan
modern karena rasionalitas dan kuriositas Jabir.

  
Mungkin benar wabah Covid-19 yang terjadi hari ini adalah cobaan dari Tuhan.
Namun sikap kita terhadap cobaan tersebut bisa jadi berbuah anugerah di
kemudian hari.  
  
Wabah sapi berdarah tahun 1920 di Amerika memberikan dunia medis antikoagulan.
Musibah tsunami pada 2004 mengantarkan Aceh ke gerbang perdamaian dari konflik
bersenjata yang tak kunjung usai. Lantas apakah yang Tuhan kehendaki untuk
dunia setelah pandemi Covid-19 ini usai? Sesuatu yang baik, pastinya. Semoga!  
  

 ",1,0,rendah
86,"Muncul Klaster Pernikahan di Kulon Progo, 12 Reaktif-1 Positif COVID-19","\-

Muncul klaster COVID-19 yang bersumber dari kegiatan hajatan pernikahan di
Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta (DIY). Satgas COVID-19
setempat mengungkap, 12 orang dinyatakan positif berdasarkan tes antigen dan
seorang positif berdasarkan tes swab PCR.

""Saya sampaikan adanya klaster baru pada 2022 ini, yang saya sebut sebagai
klaster mantenan __ (pernikahan) Karangsari. Di mana setelah ada kegiatan
pernikahan itu ada yang sakit, kemudian dites antigen ternyata positif
COVID-19,"" ungkap Juru Bicara Satgas COVID-19 Kulon Progo, Baning Rahayujati
kepada wartawan, Senin (31/1/2022).

""Dari situ akhirnya kita dapatkan sampai dengan hari kemarin ada 13 orang yang
positif. Rinciannya 12 positif berdasarkan hasil tes antigen dan 1 positif
PCR,"" imbuhnya.

Baning menjelaskan, klaster ini berasal dari acara pernikahan yang digelar
oleh warga di Kalurahan Karangsari, Kapanewon Pengasih, Kulon Progo. Awal mula
kemunculan klaster dari rombongan mempelai pria asal Jawa Barat.

""Kejadian ini diduga dari adanya pendatang. Jadi rombongan keluarga _manten_
ini dari wilayah Jawa Barat, datang dalam kondisi sakit. Lalu mantennya
(pengantinnya) sudah di-antigen dengan hasil negatif. Tetapi akhirnya kena
juga (positif berdasarkan test PCR),"" ucapnya.

Mendapat laporan adanya warga yang positif COVID-19, satgas setempat kemudian
melakukan upaya tracing kontak erat. Hasilnya ditemukan 52 kontak erat.

Dari jumlah itu, sebanyak 13 di antaranya dinyatakan positif COVID-19
berdasarkan hasil tes antigen dan swab PCR, serta 3 negatif. Ada pun sisanya
yaitu 36 kontak erat masih menunggu hasil uji sampel yang dilakukan oleh Balai
Besar Veteriner (BBVet) Wates.

""Sampai hari ini kita masih menunggu beberapa yang belum keluar hasilnya dari
laboratorium BBVet Wates. Masih ada 36 yang ada di BBVet,"" ucap Baning.

Baning mengatakan kontak erat terdiri dari keluarga mempelai pria dan wanita,
warga sekitar lokasi pernikahan, serta tamu undangan yang berasal dari
sejumlah wilayah antara lain Kalurahan Margosari dan Sendangsari, Pengasih.
Selain itu ada pula salah satu pejabat di Kulon Progo.

""Ada juga salah satu pejabat yang ada di Kulon Progo masuk kontak erat kasus.
Namun yang bersangkutan ada di ring 3,"" ujarnya.

""Jadi dia tidak datang ke mantenan, tapi kontak dengan tamu yang datang ke
manten tersebut. Pejabat ini positif antigen, untuk PCR belum keluar,"" imbuh
Baning.

Baning menerangkan seluruh kasus positif klaster pernikahan dalam kondisi
stabil dan tidak bergejala. Mereka kini telah diminta menjalani isolasi
mandiri di rumahnya masing-masing.

  
  
  
[Gambas:Video 20detik]  

 ",0,12,sedang
87,Dinkes Jatim Sebut Jumlah Pengidap HIV di Jawa Timur Turun,"\- Jumlah pengidap _human immunodeficiency virus_ (HIV) di Jawa Timur turun
dari 2018. Hal itu disampaikan Kepala Dinas Kesehatan (Dinkes) Jatim Kohar
Hari Santoso.  
  
Kohar mengatakan, berdasarkan data yang ada, pengidap HIV pada 2018 lebih dari
8.000 orang, kini tinggal 7.000 orang. Kohar juga optimistis data ini akan
turun hingga akhir tahun nanti.  
  
""Ini belum akhir tahun, artinya masih ada potensi turun lagi,"" kata Kohar di
Surabaya, Selasa (3/12/2019).  
  

  
Penurunan ini, lanjut Kohar, merupakan salah satu hasil upaya Pemprov dan
dukungan masyarakat. Selama ini, pihaknya terus melakukan upaya pencegahan
dengan memberikan penyuluhan kepada masyarakat terkait bahaya HIV dan cara
mencegahnya.  
  
Kohar juga kerap memberikan pemahaman kepada masyarakat terkait penularan
virus. Dia mengatakan banyak hoaks tentang penularan virus yang masih
dipercaya masyarakat.  
  
""Selain itu penularannya juga melalui hubungan badan dan jarum suntik. Kalau
menular melalui handuk, itu tidak benar,"" imbuhnya.  

Selanjutnya __

Halaman

1  2

 ",0,0,rendah
88,"Jokowi Teken Perpres Penanggulangan TBC, Ini Targetnya di 2030","\-

Presiden Joko Widodo (Jokowi) meneken Peraturan Presiden (Perpres) tentang
Penanggulangan Tuberkulosis (TBC). Menkes ditunjuk menjadi ketua pelaksana dan
Menko PMK sebagai ketua dewan pengarah.

Peraturan Presiden Nomor 67 Tahun 2021 tentang Penanggulangan Tuberkulosis itu
diteken Jokowi pada 2 Agustus 2021 sebagaimana salinannya dilihat , Selasa
(10/8/2021). Aturan tersebut menetapkan target eliminasi TBC pada tahun 2030
sebagai berikut:

1\. penurunan angka kejadian (incidence ratel TBC menjadi 65 (enam puluh lima)
per 100.000 (seratus ribu) penduduk; dan  
2\. penurunan angka kematian akibat TBC menjadi 6 (enam) per 100.000 (seratus
ribu) penduduk.

Untuk mewujudkan target tersebut, pemerintah melaksanakan strategi nasional
eliminasi TBC. Hal itu dijelaskan dalam pasal 5.

 _Pasal 5_  
 _(1) Pencapaian target Eliminasi TBC sebagaimana dimaksud dalam Pasal 4
dilaksanakan melalui penerapan strategi nasional Eliminasi TBC._  
 _(2) Strategi nasional Eliminasi TBC sebagaimana dimaksud pada ayat (1)
terdiri atas:_  
 _a. penguatan komitmen dan kepemimpinan Pemerintah Pusat, Pemerintah Daerah
provinsi,_ _dan Pemerintah Daerah kabupaten/kota; peningkatan akses layanan
TBC yang bermutu dan berpihak pada pasien; intensifikasi upaya kesehatan dalam
rangka Penanggulangan TBC;_  
 _peningkatan penelitian, pengembangan, dan inovasi di bidang Penanggulangan
TBC; peningkatan peran serta komunitas, Pemangku Kepentingan, dan multisektor
lainnya dalam Penanggulangan TBC; dan penguatan manajemen program._

Adapun susunan keanggotaan tim percepatan penanggulangan TBC terdiri atas:

a. Pengarah

Ketua : Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan.  
Anggota : 1. Menteri Koordinator Bidang Politik, Hukum, dan Keamanan; dan  
2\. Menteri Koordinator Bidang Perekonomian.

b. Pelaksana

Ketua : Menteri Kesehatan.  
Anggota:

1\. Menteri Dalam Negeri;  
2\. Menteri Agama;  
3\. Menteri Hukum dan Hak Asasi Manusia;  
4\. Menteri Keuangan;  
5\. Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi;  
6\. Menteri Sosial;  
7\. Menteri Ketenagakerjaan;  
8\. Menteri Pekerjaan Umum dan Perumahan Ralryat;  
9\. Menteri Komunikasi dan Informatika;  
10\. Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi;  
11\. Menteri Perencanaan Pembangunan Nasional/Kepala Badan Perencanaan
Pembangunan Nasional;  
12\. Menteri Badan Usaha Milik Negara;  
13\. Sekretaris Kabinet;  
14\. Kepala Badan Riset dan Inovasi Nasional; dan  
15\. Kepala Badan Pengawas Obat dan Makanan.

 ",0,0,rendah
