tingakt,parent,similarity
4,keningnya,"[('lebam', 0.6731157898902893), ('memar', 0.6549589037895203), ('dahi', 0.6500831842422485), ('pipi', 0.6325379014015198), ('dahinya', 0.6311367750167847), ('lehernya', 0.6302403211593628), ('pipinya', 0.6287274956703186), ('bibirnya', 0.6276893615722656), ('membalut', 0.627602756023407), ('dadanya', 0.6234694719314575)]"
4,lecet,"[('memar', 0.7706415057182312), ('melepuh', 0.7629009485244751), ('bengkak', 0.7553597688674927), ('iritasi', 0.7250129580497742), ('gatal', 0.7195761203765869), ('kram', 0.7123251557350159), ('pegal', 0.6986920833587646), ('keseleo', 0.6939327120780945), ('kolik', 0.6930522918701172), ('pembengkakan', 0.6929932236671448)]"
4,banja,"[('modrić', 0.8828245401382446), ('gregorc', 0.8196574449539185), ('millfy', 0.8141504526138306), ('borac', 0.7921797633171082), ('ubli', 0.7865633964538574), ('krajnc', 0.7621287703514099), ('šulić', 0.7517105340957642), ('faimalaga', 0.6997748613357544), ('lukanya', 0.6269785761833191), ('gangrene', 0.5993892550468445)]"
4,kesakitan,"[('kedinginan', 0.7619540095329285), ('lemas', 0.7596864700317383), ('syok', 0.7473903298377991), ('lumpuh', 0.742501437664032), ('pingsan', 0.73386549949646), ('pusing', 0.7330498695373535), ('muntah', 0.728009045124054), ('gemetar', 0.7279301285743713), ('sekarat', 0.7244424819946289), ('penyakitnya', 0.7141544818878174)]"
4,kelelahan,"[('stres', 0.7292397022247314), ('kedinginan', 0.7147071361541748), ('kesakitan', 0.7048226594924927), ('muntah', 0.7008365392684937), ('lumpuh', 0.6893928050994873), ('syok', 0.6812649965286255), ('penyakitnya', 0.6795381903648376), ('berkeringat', 0.6769206523895264), ('lelah', 0.6661468744277954), ('mengantuk', 0.6617066264152527)]"
4,sembuh,"[('pulih', 0.7813272476196289), ('kambuh', 0.7354270815849304), ('disembuhkan', 0.7339098453521729), ('penyakitnya', 0.7294378280639648), ('dioperasi', 0.7172542214393616), ('menyembuhkannya', 0.6960312128067017), ('lumpuh', 0.6784732341766357), ('tertular', 0.6624530553817749), ('diobati', 0.6583278179168701), ('merawatnya', 0.6471952199935913)]"
4,menderita,"[('diderita', 0.7492149472236633), ('mengidap', 0.7462061047554016), ('terserang', 0.7277538180351257), ('dideritanya', 0.6921712160110474), ('terjangkit', 0.6806324124336243), ('didera', 0.6679044961929321), ('lumpuh', 0.6660642027854919), ('mengalami', 0.6656507253646851), ('dialaminya', 0.6479756236076355), ('tertular', 0.6361292004585266)]"
4,penyakitnya,"[('kambuh', 0.7472531795501709), ('lukanya', 0.7469852566719055), ('syok', 0.7466285824775696), ('sembuh', 0.7294377088546753), ('tuberkulosis', 0.7190519571304321), ('kesakitan', 0.7141544818878174), ('disentri', 0.7130362391471863), ('pendarahan', 0.7121165990829468), ('leukimia', 0.7012640237808228), ('muntah', 0.6921400427818298)]"
4,mencederai,"[('melukai', 0.7178927659988403), ('melumpuhkan', 0.5887731313705444), ('menyiksa', 0.58225017786026), ('mengelabui', 0.5790523886680603), ('menyakiti', 0.5696588754653931), ('melecehkan', 0.5690625309944153), ('menyogok', 0.5610449314117432), ('merenggut', 0.5480414032936096), ('mengkhianati', 0.5445448160171509), ('merusak', 0.5443193316459656)]"
4,membunuh,"[('membunuhnya', 0.8005741238594055), ('menculik', 0.7916058301925659), ('menghabisi', 0.7791422009468079), ('menangkap', 0.7477144002914429), ('menghukum', 0.7451236248016357), ('menipu', 0.7381448745727539), ('memenjarakan', 0.7372879981994629), ('menyiksa', 0.7314568161964417), ('menangkapnya', 0.7308530807495117), ('mengkhianati', 0.7217329740524292)]"
4,melumpuhkan,"[('menghalau', 0.8091058135032654), ('menghabisi', 0.7813901901245117), ('menyergap', 0.7638935446739197), ('menghancurkan', 0.7579039931297302), ('menghadang', 0.7503058910369873), ('menangkis', 0.7474497556686401), ('membasmi', 0.7410901188850403), ('memusnahkan', 0.7384907603263855), ('menetralisir', 0.7384130358695984), ('mengelabui', 0.733789324760437)]"
4,menyiksa,"[('menyakiti', 0.760479748249054), ('memukuli', 0.754798948764801), ('menipu', 0.753447413444519), ('menganiaya', 0.7397693991661072), ('mempermalukan', 0.7348307371139526), ('membunuh', 0.7314568758010864), ('mengkhianati', 0.7073510885238647), ('menakuti', 0.707294762134552), ('memperkosa', 0.7014113664627075), ('mempermainkan', 0.6992505192756653)]"
4,menyakiti,"[('menyiksa', 0.7604798078536987), ('mempermainkan', 0.7569808959960938), ('menipu', 0.7359103560447693), ('memfitnah', 0.7323119044303894), ('menganiaya', 0.727810800075531), ('memaafkan', 0.720934271812439), ('mencelakakan', 0.7207536697387695), ('mempermalukan', 0.7080841064453125), ('memarahi', 0.7013450264930725), ('membohongi', 0.6949355006217957)]"
4,menyandera,"[('disandera', 0.7215675115585327), ('menangkapi', 0.7188794612884521), ('menculik', 0.7149304747581482), ('membantai', 0.7029118537902832), ('membunuh', 0.6957261562347412), ('menembaki', 0.6877869367599487), ('mengevakuasi', 0.6764526963233948), ('memukuli', 0.6746891140937805), ('diculik', 0.6679837703704834), ('menyergap', 0.6642114520072937)]"
4,memukuli,"[('menyiksa', 0.754798948764801), ('memukulnya', 0.7430711984634399), ('dipukuli', 0.7211179733276367), ('mencekik', 0.7168800830841064), ('memukulinya', 0.7144770622253418), ('menghajar', 0.7122410535812378), ('berteriak', 0.7102630138397217), ('membunuh', 0.702888011932373), ('memarahi', 0.7020719647407532), ('menembaknya', 0.6981025338172913)]"
4,menggigit,"[('merobek', 0.7863453030586243), ('menusuk', 0.7829926013946533), ('mencium', 0.7700595855712891), ('menjilati', 0.7652043700218201), ('menerkam', 0.7634209990501404), ('mengigit', 0.7475919723510742), ('mencakar', 0.7431586384773254), ('menggaruk', 0.7359462380409241), ('mengelus', 0.7193410992622375), ('menghisap', 0.7187698483467102)]"
4,tertidur,"[('pingsan', 0.7741758227348328), ('sekarat', 0.750700831413269), ('terbangun', 0.7384058833122253), ('berbaring', 0.7248364686965942), ('terbaring', 0.7152820229530334), ('tidur', 0.7005789875984192), ('menangis', 0.7002789974212646), ('tersesat', 0.6922240257263184), ('lelap', 0.6915243268013), ('mabuk', 0.6867973804473877)]"
4,siuman,"[('pingsan', 0.7210937142372131), ('mencurinya', 0.6971032619476318), ('mengkhianatinya', 0.6941717863082886), ('terkapar', 0.6851834654808044), ('memergokinya', 0.6714497208595276), ('tersadar', 0.6709850430488586), ('tertidur', 0.6649641394615173), ('memarahi', 0.6631004810333252), ('menemukannya', 0.6594330072402954), ('menyelidikinya', 0.6580655574798584)]"
4,terkapar,"[('pingsan', 0.7178561091423035), ('siuman', 0.6851834058761597), ('mencekik', 0.6523127555847168), ('terjatuh', 0.6442397236824036), ('menembaknya', 0.6395381093025208), ('terpeleset', 0.6386547088623047), ('diamputasi', 0.6337988972663879), ('memarahinya', 0.6303780674934387), ('memarahi', 0.6281190514564514), ('tersandung', 0.6210461854934692)]"
4,tersungkur,"[('terpeleset', 0.7324298024177551), ('pingsan', 0.7030954957008362), ('berguling', 0.6918862462043762), ('tertelungkup', 0.670436680316925), ('tertembak', 0.6476564407348633), ('terkilir', 0.6398226022720337), ('remuk', 0.6347405314445496), ('menikam', 0.6297242641448975), ('kakinya', 0.6297104954719543), ('memukulnya', 0.6267759799957275)]"
4,disentri,"[('tifus', 0.8485292196273804), ('bronkitis', 0.826324462890625), ('diare', 0.816694438457489), ('difteri', 0.8133857250213623), ('kolera', 0.8120227456092834), ('tuberkulosis', 0.8056193590164185), ('leukimia', 0.7933191061019897), ('pilek', 0.7931806445121765), ('variola', 0.7931103706359863), ('kudis', 0.7882620692253113)]"
4,jantungnya,"[('otaknya', 0.708690345287323), ('lukanya', 0.6886979341506958), ('tenggorokannya', 0.6849868893623352), ('ususnya', 0.6774153709411621), ('pingsan', 0.668854832649231), ('lututnya', 0.6667683720588684), ('lengannya', 0.6572487354278564), ('perutnya', 0.6546377539634705), ('kesakitan', 0.6495024561882019), ('darahnya', 0.6491784453392029)]"
4,leukimia,"[('leukemia', 0.849574625492096), ('gastroenteritis', 0.7995216846466064), ('tifus', 0.7992192506790161), ('bronkitis', 0.794335126876831), ('disentri', 0.7933191657066345), ('difteri', 0.7896312475204468), ('anemia', 0.7811331748962402), ('artritis', 0.7780725955963135), ('tuberkulosis', 0.7776846289634705), ('pneumonia', 0.7741941213607788)]"
4,ditembaki,"[('disergap', 0.8022125363349915), ('dibombardir', 0.7969061136245728), ('dicegat', 0.7922217845916748), ('dihalau', 0.7909346222877502), ('diserang', 0.7887861728668213), ('dikepung', 0.7774150371551514), ('dihadang', 0.7757046818733215), ('dikawal', 0.7570351362228394), ('diserbu', 0.7544959187507629), ('dibom', 0.7353742122650146)]"
4,terbaring,"[('berbaring', 0.7607439756393433), ('tergeletak', 0.7185382843017578), ('sekarat', 0.7160477042198181), ('tertidur', 0.715282142162323), ('tidurnya', 0.7053012847900391), ('pingsan', 0.6730818152427673), ('kamarnya', 0.6652142405509949), ('dibaringkan', 0.6504184603691101), ('terbangun', 0.6489173769950867), ('menangis', 0.6479693055152893)]"
4,terbangun,"[('tertidur', 0.7384059429168701), ('pingsan', 0.6749468445777893), ('sekarat', 0.6742519736289978), ('menghilang', 0.6665818095207214), ('terbaring', 0.6489173769950867), ('siuman', 0.635003387928009), ('menemukannya', 0.6174471378326416), ('terjatuh', 0.6131656765937805), ('tersesat', 0.6104755997657776), ('bersembunyi', 0.609436571598053)]"
4,mabuk,"[('mabukan', 0.6971954703330994), ('pingsan', 0.6933882236480713), ('panik', 0.691719651222229), ('tertidur', 0.6867973804473877), ('sekarat', 0.6734875440597534), ('bermabuk', 0.6584032773971558), ('kesakitan', 0.6487354040145874), ('kesal', 0.6297764182090759), ('bingung', 0.6194139122962952), ('lapar', 0.6185969114303589)]"
4,merawatnya,"[('menolongnya', 0.702851414680481), ('menjenguk', 0.6970513463020325), ('meninggalkannya', 0.6967054009437561), ('menyembuhkannya', 0.689994752407074), ('merawat', 0.6887437701225281), ('sekarat', 0.6716086268424988), ('dioperasi', 0.6632362008094788), ('mengambilnya', 0.6620363593101501), ('mencelakai', 0.6601846814155579), ('menyelidikinya', 0.6567665934562683)]"
4,menyerangnya,"[('membunuhnya', 0.7969832420349121), ('menangkapnya', 0.7883588075637817), ('mengejarnya', 0.7719200849533081), ('menghajar', 0.7718603610992432), ('memukulnya', 0.7537521123886108), ('mengamuk', 0.7457603216171265), ('menahannya', 0.7251120805740356), ('menembaknya', 0.72416752576828), ('menolongnya', 0.7223806977272034), ('menusuk', 0.7177413105964661)]"
4,dievakuasi,"[('diungsikan', 0.8041648864746094), ('mengungsi', 0.7454153895378113), ('mengevakuasi', 0.7195802330970764), ('dipulangkan', 0.7040765881538391), ('diamankan', 0.694428026676178), ('mengungsikan', 0.6758298873901367), ('diangkut', 0.6717869639396667), ('direlokasi', 0.6623454689979553), ('dideportasi', 0.6598138809204102), ('diberangkatkan', 0.6490837335586548)]"
4,merenggut,"[('merengut', 0.7563705444335938), ('mempertaruhkan', 0.701199471950531), ('meregang', 0.6441611647605896), ('menyelamatkan', 0.6315687298774719), ('menelan', 0.618861198425293), ('nyawa', 0.5883699059486389), ('menimpanya', 0.5867496728897095), ('menimpa', 0.5846601128578186), ('mengorbankan', 0.5829010009765625), ('melukai', 0.5774105191230774)]"
4,berpenumpang,"[('tuaku', 0.6551773548126221), ('berkemul', 0.606644332408905), ('orangku', 0.595280110836029), ('tuamu', 0.5905664563179016), ('berputerakan', 0.5656429529190063), ('perorang', 0.5618445873260498), ('menewaskan', 0.5613083243370056), ('kanaq', 0.5584307909011841), ('orangan', 0.5550738573074341), ('ezrahi', 0.5529956221580505)]"
4,menembaki,"[('menyergap', 0.7314807176589966), ('mencegat', 0.6955595016479492), ('membombardir', 0.6945206522941589), ('mengevakuasi', 0.6943817734718323), ('menghadang', 0.6880607604980469), ('menyandera', 0.6877869963645935), ('menembak', 0.6845591068267822), ('mendaratkan', 0.6835131645202637), ('meledakkan', 0.6808763742446899), ('menembakkan', 0.6726247072219849)]"
4,terbunuhnya,"[('tewasnya', 0.7996220588684082), ('meninggalnya', 0.7467036843299866), ('gugurnya', 0.7005560994148254), ('pembunuhannya', 0.694619357585907), ('penangkapannya', 0.6923336386680603), ('kejatuhannya', 0.6634291410446167), ('mangkatnya', 0.6399922370910645), ('wafatnya', 0.6271463632583618), ('ditangkapnya', 0.6255128979682922), ('tertangkapnya', 0.6201008558273315)]"
4,gugurnya,"[('terbunuhnya', 0.7005560994148254), ('tewasnya', 0.6632902026176453), ('meninggalnya', 0.5887186527252197), ('tertangkapnya', 0.5773971080780029), ('bubat', 0.552838921546936), ('ditangkapnya', 0.5508129000663757), ('meletusnya', 0.5435026288032532), ('wafatnya', 0.5277737975120544), ('niwatakawaca', 0.5182952284812927), ('hancurnya', 0.5165984034538269)]"
4,tertangkapnya,"[('terbunuhnya', 0.6201007962226868), ('tewasnya', 0.6039749979972839), ('gugurnya', 0.5773970484733582), ('penangkapannya', 0.5268396735191345), ('ditangkapnya', 0.5096808671951294), ('penculikan', 0.5052868127822876), ('kaburnya', 0.5007940530776978), ('hasutan', 0.4918316602706909), ('dahagi', 0.48293566703796387), ('pembunuhan', 0.4802990257740021)]"
4,meninggalnya,"[('wafatnya', 0.8646228313446045), ('mangkatnya', 0.7740057110786438), ('terbunuhnya', 0.7467036247253418), ('kepergian', 0.7140049338340759), ('kemangkatan', 0.706756591796875), ('kematiannya', 0.6980487108230591), ('kematian', 0.6805776953697205), ('mangkat', 0.64920574426651), ('perceraiannya', 0.6330709457397461), ('wafat', 0.6286062598228455)]"
4,disiksa,"[('dianiaya', 0.811913251876831), ('dipukuli', 0.8068282604217529), ('dipenjara', 0.7821837663650513), ('dipenjarakan', 0.7669605612754822), ('diinterogasi', 0.7617957592010498), ('diadili', 0.7572818398475647), ('ditangkap', 0.7524409294128418), ('dibunuh', 0.7509031295776367), ('ditahan', 0.7432131767272949), ('diancam', 0.741311252117157)]"
4,disekap,"[('ditolong', 0.7973812818527222), ('dirampok', 0.7858830094337463), ('diculik', 0.7755351066589355), ('dijebak', 0.7728869915008545), ('dihantui', 0.7591938376426697), ('dihajar', 0.7571314573287964), ('diperkosa', 0.7551425099372864), ('diteror', 0.7492774128913879), ('dipukuli', 0.7440524697303772), ('dikurung', 0.736656904220581)]"
4,disandera,"[('diculik', 0.7616894841194153), ('menyandera', 0.7215673923492432), ('disergap', 0.7042838931083679), ('dijebak', 0.7012056708335876), ('disekap', 0.6950792670249939), ('dihadang', 0.6934888362884521), ('diperkosa', 0.688385546207428), ('diinterogasi', 0.685385525226593), ('dibajak', 0.6794869899749756), ('dihabisi', 0.6779508590698242)]"
4,dikhianati,"[('ditolong', 0.8135497570037842), ('ditipu', 0.7948136329650879), ('dihasut', 0.7885004878044128), ('dijebak', 0.7850955128669739), ('dipergoki', 0.7741435170173645), ('difitnah', 0.770577073097229), ('dihajar', 0.7637891173362732), ('dipermalukan', 0.7623895406723022), ('dihalangi', 0.7620556354522705), ('dihantui', 0.7542252540588379)]"
4,dijebak,"[('ditolong', 0.8442350625991821), ('dihajar', 0.8220319747924805), ('dipergoki', 0.8051313161849976), ('ditipu', 0.8019420504570007), ('dikhianati', 0.7850955724716187), ('disekap', 0.7728869318962097), ('dihantui', 0.7701500654220581), ('dirampok', 0.7670726776123047), ('dihasut', 0.7633084058761597), ('dihabisi', 0.7620031237602234)]"
4,dirampok,"[('disekap', 0.7858830094337463), ('ditolong', 0.7733516693115234), ('dijebak', 0.7670726776123047), ('dihajar', 0.7585095167160034), ('diculik', 0.738972544670105), ('dipukuli', 0.7360701560974121), ('ditipu', 0.7321547865867615), ('diperkosa', 0.7315858006477356), ('dihantui', 0.7249399423599243), ('didatangi', 0.7076460719108582)]"
4,wafat,"[('meninggal', 0.8117603659629822), ('mangkat', 0.793494701385498), ('wafatnya', 0.7063292264938354), ('meninggalnya', 0.6286062598228455), ('dimakamkan', 0.6037206649780273), ('kematiannya', 0.5997337102890015), ('mangkatnya', 0.5963461399078369), ('kemangkatan', 0.5801767706871033), ('dikebumikan', 0.5665833950042725), ('lahir', 0.5652809143066406)]"
4,mangkat,"[('wafat', 0.7934947609901428), ('mangkatnya', 0.7635803818702698), ('bertahta', 0.6936366558074951), ('meninggal', 0.6763702034950256), ('wafatnya', 0.6757964491844177), ('kemangkatan', 0.673295259475708), ('meninggalnya', 0.6492056846618652), ('bertakhta', 0.6340734362602234), ('penobatannya', 0.6190840601921082), ('kakandanya', 0.6180478930473328)]"
4,meningal,"[('perkomikan', 0.6816366314888), ('akherat', 0.6804028153419495), ('charn', 0.6600528359413147), ('kugenggam', 0.6535800099372864), ('meniggal', 0.6488853096961975), ('cspo', 0.6470251083374023), ('persilatan', 0.6052560806274414), ('pelusuk', 0.6028876900672913), ('kuraih', 0.599825918674469), ('keartisan', 0.5964305400848389)]"
4,meniggal,"[('meinggal', 0.650917112827301), ('meningal', 0.6488854289054871), ('meningggal', 0.6017420291900635), ('meninggal', 0.5877739787101746), ('tafsīr', 0.5835334658622742), ('kuraih', 0.5828717350959778), ('antipositivisme', 0.5763399004936218), ('kılıç', 0.5760259628295898), ('besim', 0.5720862746238708), ('kudamba', 0.5713626146316528)]"
4,wafatnya,"[('meninggalnya', 0.8646228909492493), ('mangkatnya', 0.7998407483100891), ('kematiannya', 0.7607020139694214), ('wafat', 0.7063292264938354), ('kemangkatan', 0.683986485004425), ('mangkat', 0.675796389579773), ('kematian', 0.6691824793815613), ('terbunuhnya', 0.627146303653717), ('kepergian', 0.6265819668769836), ('kepergiannya', 0.610619306564331)]"
4,kematiannya,"[('wafatnya', 0.7607020139694214), ('kematian', 0.7310460209846497), ('meninggalnya', 0.6980487108230591), ('pembunuhannya', 0.6811127662658691), ('kejatuhannya', 0.6744980216026306), ('mangkatnya', 0.6615068316459656), ('penangkapannya', 0.6485871076583862), ('wafat', 0.5997336506843567), ('kepergiannya', 0.5965125560760498), ('mangkat', 0.5940301418304443)]"
4,kematian,"[('kematiannya', 0.7310460805892944), ('meninggalnya', 0.6805776953697205), ('wafatnya', 0.6691824793815613), ('mangkatnya', 0.6259285807609558), ('kepergian', 0.6173922419548035), ('kejatuhannya', 0.6101635098457336), ('terbunuhnya', 0.6005152463912964), ('pembunuhannya', 0.5905055403709412), ('kemangkatan', 0.5899499654769897), ('tewasnya', 0.5842623114585876)]"
4,ditahan,"[('ditangkap', 0.8585927486419678), ('dipenjara', 0.856074333190918), ('dipenjarakan', 0.8379883170127869), ('diadili', 0.7761735320091248), ('diinterogasi', 0.7585638761520386), ('mendekam', 0.7545802593231201), ('disiksa', 0.7432131767272949), ('tertangkap', 0.7282615900039673), ('dieksekusi', 0.7256803512573242), ('dibebaskan', 0.7191884517669678)]"
4,dipenjarakan,"[('dipenjara', 0.8719369769096375), ('ditahan', 0.8379883766174316), ('ditawan', 0.7790820002555847), ('ditangkap', 0.7770771980285645), ('disiksa', 0.7669605016708374), ('diadili', 0.7382107973098755), ('diasingkan', 0.7348428964614868), ('mendekam', 0.7270311117172241), ('dieksekusi', 0.7242063879966736), ('dibunuh', 0.7039114832878113)]"
4,dipenjara,"[('dipenjarakan', 0.8719367980957031), ('ditahan', 0.8560742139816284), ('disiksa', 0.7821837067604065), ('ditangkap', 0.7612951993942261), ('diadili', 0.7579416036605835), ('mendekam', 0.735850989818573), ('dieksekusi', 0.7234421372413635), ('dihukum', 0.7138887643814087), ('ditawan', 0.7027577757835388), ('diinterogasi', 0.699129045009613)]"
4,diinterogasi,"[('disiksa', 0.7617957592010498), ('ditahan', 0.7585638165473938), ('diadili', 0.7431260943412781), ('ditangkap', 0.7412304878234863), ('diculik', 0.7085410356521606), ('dipukuli', 0.7043924331665039), ('dipenjara', 0.699129045009613), ('dijebak', 0.69676673412323), ('disekap', 0.689778745174408), ('disandera', 0.6853854656219482)]"
4,diadili,"[('didakwa', 0.7898171544075012), ('ditahan', 0.7761735916137695), ('dipenjara', 0.7579416632652283), ('disiksa', 0.7572817802429199), ('diinterogasi', 0.7431260943412781), ('dipenjarakan', 0.7382106781005859), ('dieksekusi', 0.7310895323753357), ('ditangkap', 0.7284873723983765), ('dihukum', 0.7279455661773682), ('disidang', 0.6906269788742065)]"
4,diserang,"[('diserbu', 0.8015719056129456), ('dikepung', 0.7965001463890076), ('ditembaki', 0.7887862324714661), ('dihadang', 0.7632917761802673), ('disergap', 0.751885712146759), ('dihabisi', 0.7167944312095642), ('tertangkap', 0.7157444357872009), ('dibom', 0.7131601572036743), ('diinvasi', 0.7125220894813538), ('menyerang', 0.7120144963264465)]"
4,dikejar,"[('dihadang', 0.788658857345581), ('ditolong', 0.7617453336715698), ('diteror', 0.7477052211761475), ('dihajar', 0.7452980875968933), ('diganggu', 0.7328670620918274), ('dipukuli', 0.7327176928520203), ('dihantui', 0.7325595617294312), ('kejar', 0.7196062207221985), ('disekap', 0.7107458114624023), ('tertipu', 0.6979172229766846)]"
4,peritiwa,"[('tritanopi', 0.644251823425293), ('pailir', 0.6274202466011047), ('shc', 0.6267049908638), ('glukosuria', 0.6163275241851807), ('tija', 0.6150621771812439), ('keramologika', 0.6143606901168823), ('pikolinat', 0.6070334911346436), ('kinkin', 0.603432834148407), ('breidel', 0.6019616723060608), ('sharmarke', 0.5999708771705627)]"
4,pristiwa,"[('persitiwa', 0.47561851143836975), ('tragedi', 0.39475929737091064), ('tmp', 0.3827889561653137), ('azimat', 0.3788743317127228), ('penumpasan', 0.37266403436660767), ('peristiwa', 0.37034040689468384), ('perjumpaan', 0.3677527904510498), ('muzakar', 0.36754703521728516), ('pergumulan', 0.36329108476638794), ('pergulatan', 0.3619823753833771)]"
4,perisitiwa,"[('peristiwa', 0.5185739994049072), ('persitiwa', 0.4659416079521179), ('annal', 0.41416943073272705), ('kejadian', 0.41392871737480164), ('perisitwa', 0.41024184226989746), ('pemberontakan', 0.40808841586112976), ('kejatuhan', 0.40745115280151367), ('kronik', 0.4058602452278137), ('kalpa', 0.4016772210597992), ('kejadiannya', 0.39971083402633667)]"
4,gannen,"[('karoku', 0.8188800811767578), ('tennan', 0.8169880509376526), ('shōō', 0.8152406215667725), ('saidai', 0.807852566242218), ('jijy', 0.8035292625427246), ('kagen', 0.799896240234375), ('kōwa', 0.795304536819458), ('yamatoneko', 0.7923048734664917), ('akikaze', 0.7910409569740295), ('eishō', 0.7875668406486511)]"
4,geger,"[('sunten', 0.6299999356269836), ('wedi', 0.6232640147209167), ('bodas', 0.6204192042350769), ('pacinan', 0.6175249814987183), ('alkisah', 0.614060640335083), ('galunggung', 0.6128703951835632), ('ranggalawe', 0.6082674860954285), ('singo', 0.6006336212158203), ('bojong', 0.5913792252540588), ('wulung', 0.5908392071723938)]"
4,qibya,"[('khojaly', 0.6776503920555115), ('tessalit', 0.6486325860023499), ('malal', 0.6396673917770386), ('koniuchy', 0.6368080973625183), ('upshur', 0.6335116624832153), ('pailir', 0.6323742866516113), ('tinulele', 0.6319044828414917), ('dujail', 0.6311851739883423), ('qgene', 0.6251239776611328), ('kelbajar', 0.6235969066619873)]"
4,diarinya,"[('guóyǔ', 0.5559232234954834), ('autobiografinya', 0.5079850554466248), ('chajing', 0.5001412630081177), ('memoirnya', 0.4998684525489807), ('hbg', 0.49009549617767334), ('tafsirannya', 0.48340386152267456), ('catatanya', 0.48338964581489563), ('niedringhaus', 0.48304322361946106), ('mielich', 0.4829758107662201), ('arthasastra', 0.4811215102672577)]"
5,wabah,"[('epidemi', 0.8599234223365784), ('kolera', 0.8037533164024353), ('kelaparan', 0.7254996299743652), ('epidemik', 0.7083853483200073), ('variola', 0.7021985650062561), ('pandemi', 0.6882432103157043), ('pandemik', 0.6766437888145447), ('penyakit', 0.6662255525588989), ('terjangkit', 0.6415621638298035), ('campak', 0.6303302645683289)]"
5,epidemi,"[('wabah', 0.8599233031272888), ('kolera', 0.8560290336608887), ('epidemik', 0.7990106344223022), ('variola', 0.7727105617523193), ('pandemi', 0.7640898823738098), ('malaria', 0.7567293047904968), ('pandemik', 0.7501505017280579), ('campak', 0.7499359250068665), ('terjangkit', 0.7197023630142212), ('kelaparan', 0.7152316570281982)]"
5,kolera,"[('epidemi', 0.8560290336608887), ('tifus', 0.8415955305099487), ('variola', 0.835803747177124), ('malaria', 0.8193829655647278), ('campak', 0.81352698802948), ('disentri', 0.8120226860046387), ('wabah', 0.8037532567977905), ('tuberkulosis', 0.7899062633514404), ('tipus', 0.7873384952545166), ('pneumonia', 0.7800529599189758)]"
5,berkepanjangan,"[('ketidakstabilan', 0.6823633909225464), ('kekeringan', 0.6453440189361572), ('mereda', 0.628635585308075), ('eskalasi', 0.6241674423217773), ('kecemasan', 0.6182306408882141), ('dilanda', 0.6168720126152039), ('dialaminya', 0.6134952902793884), ('ketegangan', 0.6132409572601318), ('timbulnya', 0.6126525402069092), ('pergolakan', 0.6088374257087708)]"
5,mengguncang,"[('melanda', 0.7312303185462952), ('diguncang', 0.6645016074180603), ('dilanda', 0.6286627054214478), ('menerpa', 0.5891726016998291), ('menghantam', 0.574303150177002), ('meletus', 0.5490998029708862), ('gempa', 0.544715940952301), ('diterjang', 0.5348866581916809), ('menerjang', 0.5298652648925781), ('lantakkan', 0.5158651471138)]"
5,pascagempa,"[('tsunami', 0.5359630584716797), ('gempa', 0.5174663066864014), ('diterjang', 0.4947444796562195), ('bencana', 0.49339285492897034), ('pemadaman', 0.4922291040420532), ('terjangan', 0.4850718677043915), ('ledakan', 0.4765295088291168), ('susulan', 0.4703965485095978), ('guncangan', 0.45778077840805054), ('kebakaran', 0.45550650358200073)]"
5,sedimentasi,"[('erosi', 0.8297510743141174), ('pengendapan', 0.8229808211326599), ('pendangkalan', 0.8040847778320312), ('pelapukan', 0.7789402008056641), ('pengikisan', 0.7507016658782959), ('penguapan', 0.7420699596405029), ('abrasi', 0.737647294998169), ('eutrofikasi', 0.7306134700775146), ('penyusutan', 0.7283624410629272), ('sedimen', 0.7116628289222717)]"
5,earthquake,"[('severe', 0.6608099937438965), ('views', 0.6606878638267517), ('eruption', 0.6547732353210449), ('disaster', 0.6344597339630127), ('earthquakes', 0.6306297183036804), ('coastal', 0.6276555061340332), ('usgs', 0.627440333366394), ('floods', 0.6262602806091309), ('landscapes', 0.6238009333610535), ('volcanic', 0.6202925443649292)]"
5,terjangan,"[('diterjang', 0.7639209628105164), ('hantaman', 0.6518606543540955), ('dihantam', 0.6316251158714294), ('terpaan', 0.6160893440246582), ('taifun', 0.6113342642784119), ('guncangan', 0.6025983691215515), ('tsunami', 0.597658634185791), ('menerjang', 0.5917103290557861), ('sambaran', 0.5898361802101135), ('imbas', 0.5810922384262085)]"
5,gempabumi,"[('freatik', 0.6259613633155823), ('seismik', 0.6023386120796204), ('tektonik', 0.5980112552642822), ('terjangan', 0.5765935182571411), ('longsoran', 0.569688618183136), ('vulkanisme', 0.5679331421852112), ('tsunami', 0.5609593987464905), ('sesar', 0.5522934794425964), ('upwelling', 0.5462217330932617), ('patahan', 0.5457056164741516)]"
5,taifun,"[('siklon', 0.6532624959945679), ('hurikan', 0.6468179225921631), ('badai', 0.6213144063949585), ('topan', 0.6187016367912292), ('terjangan', 0.6113343238830566), ('haiyan', 0.5567343235015869), ('tsunami', 0.5476126074790955), ('tornado', 0.5412967205047607), ('monsun', 0.5334583520889282), ('tembin', 0.5325930118560791)]"
5,ancaman,"[('bahaya', 0.6728236079216003), ('ketidakpedulian', 0.6232525110244751), ('provokasi', 0.6179372072219849), ('musuh', 0.6123822331428528), ('penghinaan', 0.5985332131385803), ('konsekuensi', 0.5903828144073486), ('kebencian', 0.5890681743621826), ('penolakan', 0.5864060521125793), ('kecurigaan', 0.5853665471076965), ('kekhawatiran', 0.5847076773643494)]"
